"","country","year","age","sex","suicides_no","population"
"394","Lithuania",2006,"15-24 years","female",10,236885
"395","Lithuania",2006,"5-14 years","male",5,199438
"396","Lithuania",2006,"5-14 years","female",1,189257
"397","Lithuania",2007,"55-74 years","male",220,267333
"398","Lithuania",2007,"75+ years","male",51,67551
"399","Lithuania",2007,"35-54 years","male",326,447405
"400","Lithuania",2007,"25-34 years","male",146,210164
"401","Lithuania",2007,"15-24 years","male",101,243589
"402","Lithuania",2007,"75+ years","female",40,164150
"403","Lithuania",2007,"35-54 years","female",60,485943
"404","Lithuania",2007,"55-74 years","female",46,387684
"405","Lithuania",2007,"25-34 years","female",17,212154
"406","Lithuania",2007,"15-24 years","female",10,236177
"407","Lithuania",2007,"5-14 years","female",4,177982
"408","Lithuania",2007,"5-14 years","male",4,187735
"409","Lithuania",2008,"35-54 years","male",401,444829
"410","Lithuania",2008,"75+ years","male",56,69533
"411","Lithuania",2008,"25-34 years","male",155,207780
"412","Lithuania",2008,"55-74 years","male",190,264954
"413","Lithuania",2008,"15-24 years","male",114,242106
"414","Lithuania",2008,"75+ years","female",36,168662
"415","Lithuania",2008,"55-74 years","female",60,384300
"416","Lithuania",2008,"35-54 years","female",65,483453
"417","Lithuania",2008,"15-24 years","female",17,234198
"418","Lithuania",2008,"25-34 years","female",15,208792
"419","Lithuania",2008,"5-14 years","male",2,177345
"420","Lithuania",2008,"5-14 years","female",0,167804
"421","Lithuania",2009,"35-54 years","male",428,440281
"422","Lithuania",2009,"55-74 years","male",239,263507
"423","Lithuania",2009,"75+ years","male",57,71090
"424","Lithuania",2009,"25-34 years","male",116,205749
"425","Lithuania",2009,"15-24 years","male",109,237032
"426","Lithuania",2009,"75+ years","female",40,172277
"427","Lithuania",2009,"35-54 years","female",65,480247
"428","Lithuania",2009,"55-74 years","female",48,381948
"429","Lithuania",2009,"25-34 years","female",15,205781
"430","Lithuania",2009,"15-24 years","female",16,229147
"431","Lithuania",2009,"5-14 years","male",3,169250
"432","Lithuania",2009,"5-14 years","female",2,160188
"433","Lithuania",2010,"55-74 years","male",219,262907
"434","Lithuania",2010,"35-54 years","male",357,430396
"435","Lithuania",2010,"75+ years","male",49,72479
"436","Lithuania",2010,"25-34 years","male",110,198028
"437","Lithuania",2010,"15-24 years","male",93,227810
"438","Lithuania",2010,"75+ years","female",41,175611
"439","Lithuania",2010,"35-54 years","female",72,471491
"440","Lithuania",2010,"55-74 years","female",50,380465
"441","Lithuania",2010,"15-24 years","female",14,218961
"442","Lithuania",2010,"25-34 years","female",11,196906
"443","Lithuania",2010,"5-14 years","female",1,153084
"444","Lithuania",2010,"5-14 years","male",1,161599
"445","Lithuania",2011,"35-54 years","male",349,420391
"446","Lithuania",2011,"55-74 years","male",213,262391
"447","Lithuania",2011,"75+ years","male",56,74328
"448","Lithuania",2011,"25-34 years","male",124,189937
"449","Lithuania",2011,"15-24 years","male",74,217769
"450","Lithuania",2011,"75+ years","female",38,179526
"451","Lithuania",2011,"55-74 years","female",68,378929
"452","Lithuania",2011,"35-54 years","female",67,460566
"453","Lithuania",2011,"25-34 years","female",17,187312
"454","Lithuania",2011,"15-24 years","female",10,207726
"455","Lithuania",2011,"5-14 years","female",1,146411
"456","Lithuania",2011,"5-14 years","male",1,154519
"457","Lithuania",2012,"35-54 years","male",321,413107
"458","Lithuania",2012,"55-74 years","male",195,263194
"459","Lithuania",2012,"75+ years","male",53,76080
"460","Lithuania",2012,"25-34 years","male",117,187811
"461","Lithuania",2012,"15-24 years","male",64,209964
"462","Lithuania",2012,"75+ years","female",37,183510
"463","Lithuania",2012,"35-54 years","female",74,451819
"464","Lithuania",2012,"55-74 years","female",45,378541
"465","Lithuania",2012,"25-34 years","female",10,183799
"466","Lithuania",2012,"15-24 years","female",8,199629
"467","Lithuania",2012,"5-14 years","male",3,149055
"468","Lithuania",2012,"5-14 years","female",0,141261
"469","Lithuania",2013,"35-54 years","male",382,405191
"470","Lithuania",2013,"55-74 years","male",223,265835
"471","Lithuania",2013,"75+ years","male",63,77510
"472","Lithuania",2013,"25-34 years","male",121,188010
"473","Lithuania",2013,"15-24 years","male",96,203647
"474","Lithuania",2013,"75+ years","female",40,186711
"475","Lithuania",2013,"35-54 years","female",75,442140
"476","Lithuania",2013,"25-34 years","female",22,182444
"477","Lithuania",2013,"55-74 years","female",41,380096
"478","Lithuania",2013,"15-24 years","female",17,192772
"479","Lithuania",2013,"5-14 years","female",3,137471
"480","Lithuania",2013,"5-14 years","male",2,144800
"481","Lithuania",2014,"75+ years","male",72,78763
"482","Lithuania",2014,"35-54 years","male",309,396758
"483","Lithuania",2014,"55-74 years","male",204,269618
"484","Lithuania",2014,"25-34 years","male",94,189300
"485","Lithuania",2014,"15-24 years","male",88,197504
"486","Lithuania",2014,"75+ years","female",45,189437
"487","Lithuania",2014,"55-74 years","female",47,383128
"488","Lithuania",2014,"35-54 years","female",43,431495
"489","Lithuania",2014,"15-24 years","female",12,186406
"490","Lithuania",2014,"25-34 years","female",11,182183
"491","Lithuania",2014,"5-14 years","female",3,135051
"492","Lithuania",2014,"5-14 years","male",2,141934
"493","Lithuania",2015,"75+ years","male",67,79672
"494","Lithuania",2015,"55-74 years","male",216,273776
"495","Lithuania",2015,"35-54 years","male",275,387255
"496","Lithuania",2015,"25-34 years","male",101,190800
"497","Lithuania",2015,"15-24 years","male",66,188903
"498","Lithuania",2015,"75+ years","female",38,191358
"499","Lithuania",2015,"55-74 years","female",55,386892
"500","Lithuania",2015,"35-54 years","female",46,419841
"501","Lithuania",2015,"25-34 years","female",17,182926
"502","Lithuania",2015,"15-24 years","female",10,178882
"503","Lithuania",2015,"5-14 years","female",3,133506
"504","Lithuania",2015,"5-14 years","male",2,140115
"505","Lithuania",2016,"75+ years","male",78,80426
"506","Lithuania",2016,"55-74 years","male",212,277763
"507","Lithuania",2016,"35-54 years","male",266,376689
"508","Lithuania",2016,"25-34 years","male",96,191346
"509","Lithuania",2016,"15-24 years","male",41,177888
"510","Lithuania",2016,"75+ years","female",29,193001
"511","Lithuania",2016,"55-74 years","female",45,390385
"512","Lithuania",2016,"35-54 years","female",41,406249
"513","Lithuania",2016,"25-34 years","female",8,182632
"514","Lithuania",2016,"15-24 years","female",6,168917
"515","Sri Lanka",1985,"75+ years","male",144,115000
"516","Sri Lanka",1985,"15-24 years","male",1432,1673000
"517","Sri Lanka",1985,"25-34 years","male",1024,1288000
"518","Sri Lanka",1985,"55-74 years","male",443,680000
"519","Sri Lanka",1985,"15-24 years","female",943,1652000
"520","Sri Lanka",1985,"35-54 years","male",824,1469000
"521","Sri Lanka",1985,"25-34 years","female",426,1268000
"522","Sri Lanka",1985,"75+ years","female",23,106000
"523","Sri Lanka",1985,"35-54 years","female",203,1402000
"524","Sri Lanka",1985,"55-74 years","female",80,600000
"525","Sri Lanka",1985,"5-14 years","male",71,1836000
"526","Sri Lanka",1985,"5-14 years","female",55,1768000
"527","Sri Lanka",1986,"75+ years","male",145,117200
"528","Sri Lanka",1986,"25-34 years","male",1045,1310300
"529","Sri Lanka",1986,"15-24 years","male",1304,1702300
"530","Sri Lanka",1986,"55-74 years","male",461,690600
"531","Sri Lanka",1986,"35-54 years","male",851,1495400
"532","Sri Lanka",1986,"15-24 years","female",804,1680400
"533","Sri Lanka",1986,"25-34 years","female",365,1290400
"534","Sri Lanka",1986,"75+ years","female",22,109400
"535","Sri Lanka",1986,"35-54 years","female",193,1425200
"536","Sri Lanka",1986,"55-74 years","female",72,611700
"537","Sri Lanka",1986,"5-14 years","male",48,1868800
